country,residential_structure,residential_content,residential,commercial_structure,commercial_content,commercial,industrial_structure,industrial_content,industrial,unknown_structure,unknown_content,unknown,gdp
Belgium,534.4874244,267.2437122,801.7311366,554.6423106,554.6423106,1109.2846212,358.91657477999996,538.3748621699999,897.2914369499999,482.6821031999999,434.41389287999993,917.0959960799998,44358.26064
Belize,221.89808437199997,110.94904218599999,332.84712655799996,245.347998732,245.347998732,490.695997464,170.99161678799996,256.4874251819999,427.4790419699999,212.745899952,191.4713099568,404.2172099088,4527.336639
Benin,107.50981975199998,53.75490987599999,161.26472962799997,125.25338897999998,125.25338897999998,250.50677795999997,92.79702061199998,139.19553091799997,231.99255152999996,108.520076448,97.6680688032,206.1881452512,690.0022811
Bermuda,696.5163374399999,348.25816871999996,1044.7745061599999,709.1003084399999,709.1003084399999,1418.2006168799999,448.73088515999996,673.0963277399999,1121.8272128999997,618.1158437999999,556.3042594199999,1174.4201032199999,88207.32756
Bhutan,168.37757740799998,84.18878870399999,252.56636611199997,189.91716850799997,189.91716850799997,379.83433701599995,135.478415448,203.217623172,338.69603861999997,164.59105377599997,148.13194839839997,312.72300217439994,2211.340513
Bolivia,159.92764703999998,79.96382351999999,239.89147055999996,181.057824072,181.057824072,362.115648144,129.720851532,194.58127729800003,324.30212883,156.902107536,141.2118967824,298.1140043184,1934.666067
Bosnia and Herzegovina,219.099717108,109.549858554,328.64957566199996,242.47589291999998,242.47589291999998,484.95178583999996,169.170993972,253.75649095799997,422.92748493,210.248867988,189.2239811892,399.47284917720003,4380.604285
Botswana,262.17102441599997,131.08551220799998,393.256536624,286.40874931199994,286.40874931199994,572.8174986239999,196.819188804,295.228783206,492.04797200999997,248.46632085599998,223.6196887704,472.08600962639997,6980.361812
Brazil,312.13065474,156.06532737,468.19598211000005,336.72160886399996,336.72160886399996,673.4432177279999,228.013645356,342.02046803400003,570.03411339,292.28863633199995,263.0597726988,555.3484090308,10978.26024
Brunei Darussalam,464.88814524,232.44407262,697.3322178599999,487.3003289999999,487.3003289999999,974.6006579999998,319.072389408,478.608584112,797.68097352,423.75362111999993,381.37825900799993,805.1318801279999,30880.34486
Bulgaria,256.285606356,128.142803178,384.428409534,280.43837316,280.43837316,560.87674632,193.085891352,289.628837028,482.71472838,243.269956944,218.94296124960002,462.2129181936,6580.813875
Burkina Faso,101.389459104,50.694729552,152.08418865599998,118.62364824,118.62364824,237.24729648,88.320909888,132.481364832,220.80227472,102.77800574399998,92.5002051696,195.2782109136,592.6074699
Burundi,69.16178599199999,34.580892995999996,103.742678988,83.182903848,83.182903848,166.365807696,63.96504778800001,95.94757168200002,159.91261947000004,72.103245876,64.8929212884,136.9961671644,219.5297995
Cabo Verde,199.021464576,99.510732288,298.532196864,221.78858687999997,221.78858687999997,443.57717375999994,155.997760896,233.99664134399998,389.99440224,192.269270772,173.0423436948,365.3116144668,3413.26337
Cambodia,112.85440001999999,56.42720000999999,169.28160003,131.02048224,131.02048224,262.04096448,96.67317841199998,145.00976761799998,241.68294602999998,113.516020224,102.1644182016,215.68043842560002,782.6188886
Cameroon,130.685886216,65.342943108,196.02882932400001,150.124440168,150.124440168,300.248880336,109.40643435599998,164.10965153399997,273.51608588999994,130.07225358,117.065028222,247.137281802,1145.368992
Canada,548.60933916,274.30466958,822.91400874,568.22628852,568.22628852,1136.45257704,366.89878224,550.34817336,917.2469556000001,494.57813651999993,445.12032286799996,939.698459388,47465.34593
Cayman Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Central African Republic,91.69860636,45.84930318,137.54790954,108.06623002799999,108.06623002799999,216.13246005599999,81.14530647599999,121.71795971399999,202.86326619,93.63671427599998,84.27304284839998,177.90975712439996,456.5634087
Chad,119.568533796,59.784266898,179.352800694,138.23761788,138.23761788,276.47523576,101.502198432,152.253297648,253.75549608,119.76945004799998,107.79250504319998,227.56195509119996,909.2999069
Channel Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Chile,329.96489252399994,164.98244626199997,494.94733878599993,354.53632197599995,354.53632197599995,709.0726439519999,238.95415357199997,358.43123035799994,597.3853839299999,307.818456012,277.0366104108,584.8550664228001,12681.7652
China,220.112010504,110.056005252,330.16801575600005,243.51516471599996,243.51516471599996,487.0303294319999,169.830011736,254.745017604,424.57502934,211.152395664,190.03715609760002,401.1895517616,4433.340886
Colombia,250.15284946799997,125.07642473399999,375.22927420199994,274.206546936,274.206546936,548.413093872,189.18138837599994,283.7720825639999,472.9534709399999,237.84692824799998,214.06223542319998,451.90916367119996,6179.770329
Comoros,111.40605233999999,55.703026169999994,167.10907851,129.459622752,129.459622752,258.919245504,95.62565926799998,143.43848890199996,239.06414816999995,112.16377810799997,100.94740029719998,213.11117840519995,756.8106118
"Congo, Dem. Rep.",82.473645816,41.236822908,123.71046872400001,97.941268368,97.941268368,195.882536736,74.20347424799999,111.30521137199999,185.50868562,84.87279615599999,76.38551654039999,161.25831269639997,346.7042747
"Congo, Rep.",187.4181663,93.70908315,281.12724945,209.76535242,209.76535242,419.53070484,148.290741576,222.436112364,370.72685393999996,181.82475341999998,163.64227807799998,345.467031498,2920.406708
Costa Rica,273.26351959199997,136.63175979599998,409.89527938799995,297.63527468399997,297.63527468399997,595.2705493679999,203.8201524,305.73022860000003,509.550381,258.23964888,232.415683992,490.65533287200003,7773.185487
Cote d'Ivoire,137.678185548,68.839092774,206.51727832199998,157.562973576,157.562973576,315.125947152,114.32356397999999,171.48534596999997,285.80890994999993,136.52157437999998,122.86941694199999,259.390991322,1311.326565
Croatia,338.016628908,169.008314454,507.02494336199993,362.55626964,362.55626964,725.11253928,243.862975404,365.79446310599997,609.65743851,314.811957996,283.3307621964,598.1427201924,13500.85443
Cuba,242.51773201199998,121.25886600599999,363.77659801799996,266.432633208,266.432633208,532.865266416,184.299354684,276.449032026,460.74838671,231.083239968,207.9749159712,439.0581559392,5701.962671
Curacao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Cyprus,446.99627411999995,223.49813705999998,670.4944111799999,469.87490159999993,469.87490159999993,939.7498031999999,308.68309627199994,463.0246444079999,771.7077406799999,408.51809064,367.666281576,776.184372216,27889.03718
Czech Republic,391.46598611999997,195.73299305999998,587.1989791799999,415.460844,415.460844,830.921688,276.007793328,414.011689992,690.0194833200001,360.97820784,324.880387056,685.858594896,19764.01554
Denmark,591.25766544,295.62883272,886.88649816,609.09971256,609.09971256,1218.19942512,390.81400127999996,586.2210019199999,977.0350031999999,530.39045988,477.351413892,1007.741873772,57647.92502
Djibouti,139.35504221999997,69.67752110999999,209.03256332999996,159.34274056799998,159.34274056799998,318.68548113599996,115.49688731999998,173.24533097999998,288.7422183,138.064890024,124.2584010216,262.3232910456,1353.193028
Dominica,261.39497619599996,130.69748809799998,392.0924642939999,285.622056864,285.622056864,571.244113728,196.327675116,294.491512674,490.81918779,247.781569392,223.0034124528,470.7849818448,6926.847597
Dominican Republic,235.70495247599996,117.85247623799998,353.5574287139999,259.48109322,259.48109322,518.96218644,179.92279925999998,269.88419889,449.80699814999997,225.03628166399997,202.53265349759997,427.56893516159994,5295.39969
Ecuador,223.94757686399998,111.97378843199999,335.921365296,247.44983687999996,247.44983687999996,494.8996737599999,172.322739432,258.484109148,430.80684858,214.57338440399997,193.1160459636,407.6894303675999,4636.693098
"Egypt, Arab Rep.",184.49267749199998,92.24633874599999,276.739016238,206.72562448799997,206.72562448799997,413.45124897599993,146.335962312,219.503943468,365.83990578,179.184754764,161.26627928759999,340.4510340516,2803.532963
El Salvador,199.720106568,99.860053284,299.580159852,222.510869676,222.510869676,445.021739352,156.45952205999998,234.68928308999998,391.14880514999993,192.89683277999998,173.607149502,366.503982282,3444.456148
Equatorial Guinea,366.34678128,183.17339064,549.52017192,390.66730812,390.66730812,781.33461624,260.99270118,391.48905176999995,652.4817529499999,339.335596872,305.4020371848,644.7376340568001,16638.13107
Eritrea,84.45533158799999,42.227665793999996,126.682997382,100.122893208,100.122893208,200.245786416,75.70453132799999,113.55679699199999,189.26132831999996,86.76091872,78.084826848,164.845745568,368.7477582
Estonia,348.63502543199996,174.31751271599998,522.9525381479999,373.11173604,373.11173604,746.22347208,250.30873000799997,375.46309501199994,625.7718250199999,324.01849716,291.61664744399997,615.635144604,14629.64939
Ethiopia,82.19671722,41.09835861,123.29507583,97.63610018399997,97.63610018399997,195.27220036799994,73.99326369599999,110.98989554399998,184.98315923999996,84.608693712,76.1478243408,160.7565180528,343.6901516
Faeroe Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Fiji,204.216021792,102.108010896,306.324032688,227.15458624799996,227.15458624799996,454.3091724959999,159.42505287599997,239.13757931399994,398.56263218999993,196.93188698399996,177.23869828559998,374.17058526959994,3649.382362
Finland,542.93988276,271.46994138,814.4098241400001,562.7758636799999,562.7758636799999,1125.5517273599999,363.69811548,545.54717322,909.2452887,489.8046207599999,440.82415868399994,930.6287794439999,46202.41516
France,517.0870476,258.5435238,775.6305714,537.86901708,537.86901708,1075.73803416,349.03565337599997,523.5534800639999,872.5891334399998,467.99723951999994,421.197515568,889.194755088,40706.07833
French Polynesia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Gabon,293.5595000519999,146.77975002599996,440.33925007799985,318.09243538799996,318.09243538799996,636.1848707759999,216.51644052,324.77466078,541.2911013,276.056125308,248.4505127772,524.5066380851999,9362.113583
"Gambia, The",99.634709196,49.817354598,149.452063794,116.71759598399998,116.71759598399998,233.43519196799997,87.029865252,130.544797878,217.57466312999998,101.12739015599998,91.01465114039998,192.14204129639995,566.3481084
Georgia,179.57813817599998,89.78906908799999,269.36720726399994,201.611308572,201.611308572,403.222617144,143.04113881199999,214.56170821799998,357.60284702999996,174.74352850799997,157.26917565719998,332.0127041651999,2613.756925
Germany,522.0270784799999,261.01353923999994,783.0406177199998,542.63509956,542.63509956,1085.27019912,351.846101376,527.769152064,879.61525344,472.1694264,424.95248376,897.12191016,41723.3659
Ghana,138.273287004,69.136643502,207.409930506,158.194775124,158.194775124,316.389550248,114.740220672,172.110331008,286.85055168,137.06942759999998,123.36248484,260.43191243999996,1326.092033
Greece,440.57884176000005,220.28942088000002,660.86826264,463.61259935999993,463.61259935999993,927.2251987199999,304.94092078799997,457.41138118199996,762.3523019699999,403.04412071999997,362.739708648,765.7838293679999,26861.4598
Greenland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Grenada,267.65354116799995,133.82677058399997,401.4803117519999,291.961707516,291.961707516,583.923415032,200.28512357999998,300.42768536999995,500.71280894999995,253.300124088,227.9701116792,481.2702357672,7365.666529
Guam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Guatemala,186.47449369199998,93.23724684599999,279.71174053799996,208.78520648399999,208.78520648399999,417.57041296799997,147.66071540399997,221.49107310599996,369.15178850999996,180.97347186,162.87612467399998,343.84959653399994,2882.386026
Guinea,90.04124988,45.02062494,135.06187481999999,106.252818084,106.252818084,212.505636168,79.90651472399999,119.85977208599999,199.76628681,92.06686090799998,82.86017481719999,174.92703572519997,435.448888
Guinea-Bissau,97.41324924,48.70662462,146.11987385999998,114.30110865599998,114.30110865599998,228.60221731199996,85.39032006000001,128.08548009,213.47580015,99.03489264,89.131403376,188.166296016,534.1475781
Guyana,186.26412592799997,93.13206296399999,279.39618889199994,208.566659196,208.566659196,417.133318392,147.520199196,221.28029879399998,368.80049798999994,180.783661428,162.70529528519998,343.48895671319997,2873.952008
Haiti,106.248740004,53.124370002,159.373110006,123.88963280399999,123.88963280399999,247.77926560799997,91.878069888,137.81710483199998,229.69517471999998,107.338814244,96.60493281960001,203.94374706360003,669.1869294
Honduras,164.40165964799996,82.20082982399998,246.60248947199995,185.75270855999997,185.75270855999997,371.50541711999995,132.775104564,199.162656846,331.93776141,160.976490912,144.8788418208,305.8553327328,2078.32576
"Hong Kong SAR, China",474.41405195999994,237.20702597999997,711.6210779399999,496.55804615999995,496.55804615999995,993.1160923199999,324.5781695399999,486.8672543099999,811.4454238499998,431.85008916,388.66508024399997,820.515169404,32549.99823
Hungary,332.720366652,166.360183326,499.080549978,357.282489996,357.282489996,714.564979992,240.636144204,360.95421630600003,601.59036051,310.21300029599996,279.19170026639995,589.4047005624,12958.53036
Iceland,521.895132,260.947566,782.8426979999999,542.5078417199999,542.5078417199999,1085.0156834399997,351.771089544,527.656634316,879.42772386,472.05802116,424.85221904400004,896.910240204,41695.99365
India,141.85324263599998,70.92662131799999,212.77986395399995,161.99139862799998,161.99139862799998,323.98279725599997,117.240831864,175.861247796,293.10207965999996,140.361824376,126.3256419384,266.6874663144,1417.073614
Indonesia,188.06527526399998,94.03263763199999,282.09791289599997,210.437266428,210.437266428,420.874532856,148.722485256,223.08372788399998,371.80621313999995,182.40834232799997,164.1675080952,346.5758504232,2946.656061
"Iran, Islamic Rep.",242.07409666799998,121.03704833399999,363.11114500199994,265.980395232,265.980395232,531.960790464,184.01495302799998,276.02242954199994,460.0373825699999,230.68981497599998,207.6208334784,438.31064845439994,5674.923927
Iraq,220.88192309999997,110.44096154999998,331.32288464999993,244.30536504000003,244.30536504000003,488.61073008000005,170.3309184,255.49637760000002,425.82729600000005,211.839402168,190.6554619512,402.4948641192,4473.71044
Ireland,550.54279296,275.27139648,825.8141894400001,570.08411424,570.08411424,1140.16822848,367.98911891999995,551.9836783799999,919.9727972999999,496.20534191999997,446.584807728,942.7901496479999,47900.83929
Isle of Man,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Israel,462.9715146,231.4857573,694.4572719,485.43601247999993,485.43601247999993,970.8720249599999,317.96249151599994,476.9437372739999,794.9062287899999,422.12333951999994,379.91100556799995,802.0343450879999,30550.9204
Italy,492.52938084000004,246.26469042000002,738.79407126,514.12660596,514.12660596,1028.25321192,335.00110986,502.50166478999995,837.50277465,447.2190324,402.49712916,849.71616156,35875.72655
Jamaica,229.06915855199998,114.53457927599999,343.60373782799996,252.69619010399995,252.69619010399995,505.3923802079999,175.64086216799998,263.46129325199996,439.1021554199999,219.13540361999998,197.22186325799998,416.35726687799996,4917.023202
Japan,528.6798352799999,264.33991763999995,793.0197529199999,549.04846356,549.04846356,1098.09692712,355.62437557199996,533.436563358,889.0609389299999,477.78422471999994,430.00580224799995,907.7900269679999,43117.82967
Jordan,218.909173284,109.454586642,328.363759926,242.280232236,242.280232236,484.560464472,169.046893908,253.57034086199997,422.61723477,210.07876647599997,189.07088982839997,399.14965630439997,4370.721045
Kazakhstan,290.00482642799994,145.00241321399997,435.00723964199994,314.517108492,314.517108492,629.034216984,214.30298267999999,321.45447401999996,535.7574566999999,272.94163919999994,245.64747527999995,518.5891144799999,9070.649972
Kenya,122.95989154799999,61.479945773999994,184.439837322,141.87183555599998,141.87183555599998,283.74367111199996,103.92512792400001,155.88769188600003,259.81281981000006,122.918951664,110.62705649760001,233.5460081616,977.7780694
Kiribati,146.43752616,73.21876308,219.65628924,166.84307063999998,166.84307063999998,333.68614127999996,120.42860993999997,180.64291490999994,301.07152484999995,144.569735568,130.1127620112,274.6824975792,1539.047436
"Korea, Dem. Rep.",155.544220872,77.772110436,233.31633130800003,176.44879652400002,176.44879652400002,352.89759304800003,126.71543933999997,190.07315900999996,316.7885983499999,152.9028189,137.61253701,290.51535591000004,1800.0
"Korea, Rep.",409.04397828000003,204.52198914000002,613.5659674200001,432.74230235999994,432.74230235999994,865.4846047199999,286.42513345199995,429.63770017799993,716.0628336299999,376.07047128,338.463424152,714.533895432,22151.20912
Kosovo,196.07053968,98.03526984,294.10580952,218.735780544,218.735780544,437.471561088,154.04456113199998,231.06684169799996,385.11140283,189.61696043999999,170.65526439599998,360.27222483599996,3283.429596
Kuwait,506.53453751999996,253.26726875999998,759.8018062799999,527.6770272,527.6770272,1055.3540544,343.01804378399993,514.5270656759999,857.5451094599998,459.076536,413.1688824,872.2454184,38584.4796
Kyrgyz Republic,118.07142836399998,59.03571418199999,177.10714254599998,136.63094655599997,136.63094655599997,273.26189311199994,100.42919319599999,150.64378979399999,251.07298298999996,118.37718936,106.539470424,224.916659784,880.0377751
Lao PDR,129.69020937599998,64.84510468799999,194.53531406399998,149.06291796,149.06291796,298.12583592,108.70294798799999,163.05442198199998,271.75736996999996,129.152025108,116.2368225972,245.38884770520002,1122.852316
Latvia,317.19312035999997,158.59656017999998,475.78968053999995,341.78582383199995,341.78582383199995,683.5716476639999,231.128958276,346.69343741399996,577.8223956899999,296.702634168,267.0323707512,563.7350049192,11446.50818
Lebanon,286.08574629599997,143.04287314799998,429.1286194439999,310.571588736,310.571588736,621.143177472,211.857682932,317.786524398,529.64420733,269.50500597599995,242.55450537839997,512.0595113543999,8755.849968
Lesotho,127.897971372,63.948985686,191.846957058,147.15067100399997,147.15067100399997,294.30134200799995,107.43452161200001,161.151782418,268.58630403,127.49438800799999,114.7449492072,242.23933721519998,1083.012065
Liberia,80.597976048,40.298988024,120.896964072,95.87286910799999,95.87286910799999,191.74573821599998,72.777511764,109.166267646,181.94377941,83.08278565199998,74.77450708679999,157.85729273879997,326.6042804
Libya,326.87176014,163.43588007,490.30764021,351.45166301999996,351.45166301999996,702.9033260399999,237.063428064,355.595142096,592.65857016,305.128950408,274.6160553672,579.7450057752,12375.44953
Liechtenstein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Lithuania,321.47695465199996,160.73847732599998,482.21543197799997,346.066580376,346.066580376,692.133160752,233.75904303599998,350.63856455399997,584.39760759,300.43419267599995,270.3907734084,570.8249660843999,11852.1696
Luxembourg,738.98452692,369.49226346,1108.47679038,749.12905872,749.12905872,1498.25811744,471.70039176,707.55058764,1179.2509794,653.2713259199999,587.9441933279999,1241.2155192479997,102856.9717
"Macao SAR, China",572.6097341999999,286.30486709999997,858.9146013,591.25497372,591.25497372,1182.50994744,380.3915124,570.5872686,950.978781,514.7520735599999,463.2768662039999,978.0289397639997,53045.87903
"Macedonia, FYR",220.283245692,110.141622846,330.424868538,243.69092927999998,243.69092927999998,487.38185855999996,169.94144138399997,254.91216207599996,424.85360345999993,211.30520543999998,190.17468489599997,401.4798903359999,4442.299972
Madagascar,88.31798056799998,44.15899028399999,132.47697085199997,104.364729972,104.364729972,208.729459944,78.614664408,117.92199661199999,196.53666102,90.432458316,81.38921248439999,171.8216708004,414.1427872
Malawi,83.640212604,41.820106302,125.460318906,99.22598636399998,99.22598636399998,198.45197272799996,75.087782388,112.63167358199999,187.71945596999998,85.98466043999998,77.386194396,163.37085483599998,359.5795268
Malaysia,286.065517752,143.032758876,429.098276628,310.551213636,310.551213636,621.102427272,211.84504783199998,317.76757174799997,529.61261958,269.48725974,242.53853376600003,512.025793506,8754.24282
Maldives,255.860063136,127.930031568,383.790094704,280.00630605599997,280.00630605599997,560.0126121119999,192.81543951600003,289.22315927400007,482.0385987900001,242.89393622399996,218.60454260159997,461.49847882559993,6552.484491
Mali,106.523861004,53.261930502,159.785791506,124.18725315599998,124.18725315599998,248.37450631199997,92.07869590799999,138.11804386199998,230.19673976999997,107.596603368,96.83694303120001,204.4335463992,673.6946614
Malta,390.94081020000004,195.47040510000002,586.4112153000001,414.94367772,414.94367772,829.88735544,275.69544350399997,413.54316525599995,689.2386087599999,360.52664364,324.47397927599997,685.0006229159999,19695.25572
Marshall Islands,192.40674606000002,96.20337303000001,288.61011909,214.94087063999999,214.94087063999999,429.88174127999997,151.61309737199997,227.41964605799996,379.0327434299999,186.320238012,167.6882142108,354.0084522228,3126.516365
Mauritania,122.929488396,61.464744198,184.394232594,141.839287596,141.839287596,283.678575192,103.903453476,155.855180214,259.75863369,122.89074314399998,110.60166882959999,233.49241197359999,977.1505551
Mauritius,270.72200509199996,135.36100254599998,406.0830076379999,295.06600421999997,295.06600421999997,590.1320084399999,202.22008358399998,303.33012537599996,505.55020895999996,256.00269762,230.402427858,486.405125478,7586.893454
Mexico,288.14850752399997,144.07425376199998,432.2227612859999,312.648749028,312.648749028,625.297498056,213.14538647999998,319.71807972,532.8634662,271.314214344,244.1827929096,515.4970072536,8920.689016
"Micronesia, Fed. Sts.",185.37438455999998,92.68719227999999,278.06157684,207.64212559199999,207.64212559199999,415.28425118399997,146.92561664399997,220.38842496599995,367.3140416099999,179.980708932,161.9826380388,341.9633469708,2838.448547
Moldova,149.766654096,74.883327048,224.64998114399998,170.35949260799995,170.35949260799995,340.7189852159999,122.73378775199998,184.10068162799996,306.83446938,147.61997816399997,132.85798034759998,280.4779585115999,1631.535832
Monaco,844.0085095199998,422.0042547599999,1266.0127642799998,847.4285062799999,847.4285062799999,1694.8570125599997,527.6469635999999,791.4704453999999,1319.117409,739.6946596799999,665.7251937119999,1405.4198533919998,145229.8379
Mongolia,170.53484065199999,85.26742032599999,255.802260978,192.173752332,192.173752332,384.347504664,136.94099277599997,205.41148916399996,342.35248193999996,166.549861908,149.8948757172,316.4447376252,2285.645378
Montenegro,257.11240201199996,128.55620100599998,385.66860301799994,281.27769624,281.27769624,562.55539248,193.611156264,290.416734396,484.02789065999997,244.000418184,219.60037636560003,463.60079454960004,6636.070538
Morocco,184.97837581200002,92.48918790600001,277.46756371800006,207.23052851999998,207.23052851999998,414.46105703999996,146.66083452,219.99125178000003,366.65208630000006,179.62324628399998,161.6609216556,341.28416793959997,2822.733739
Mozambique,89.13278084400001,44.566390422000005,133.699171266,105.257788488,105.257788488,210.515576976,79.22596726799999,118.838950902,198.06491817,91.2055122,82.08496098,173.29047318,424.134902
Myanmar,135.990353952,67.995176976,203.985530928,155.76997748399998,155.76997748399998,311.53995496799996,113.14029992399999,169.710449886,282.85074980999997,134.96687712,121.470189408,256.437066528,1270.0
Namibia,233.67262121999997,116.83631060999998,350.50893182999994,257.40457711199997,257.40457711199997,514.8091542239999,178.61340812400002,267.92011218600004,446.5335203100001,223.23020216400002,200.9071819476,424.1373841116,5177.681179
Nepal,101.597648436,50.798824218,152.396472654,118.84962985199998,118.84962985199998,237.69925970399996,88.47385052399999,132.71077578599997,221.18462630999994,102.97370959199999,92.6763386328,195.6500482248,595.7716261
Netherlands,561.1695278399999,280.58476391999994,841.7542917599999,580.28682168,580.28682168,1160.57364336,373.97124252,560.9568637799999,934.9281062999999,505.14253056,454.62827750400004,959.770808064,50338.25483
New Caledonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
New Zealand,476.07379848,238.03689924,714.11069772,498.16968516000003,498.16968516000003,996.3393703200001,325.53569016,488.30353524,813.8392254,433.25972459999997,389.93375213999997,823.1934767399999,32846.45443
Nicaragua,146.29611747599998,73.14805873799999,219.44417621399998,166.69357952399997,166.69357952399997,333.38715904799994,120.33051429599999,180.49577144399998,300.82628574,144.44007044399999,129.9960633996,274.4361338436,1535.192167
Niger,83.66007445199999,41.830037225999995,125.49011167799998,99.247848588,99.247848588,198.495697176,75.102821712,112.654232568,187.75705427999998,86.00358157199999,77.4032234148,163.40680498679998,359.801242
Nigeria,171.25708701599999,85.62854350799999,256.88563052399996,192.92878944,192.92878944,385.85757888,137.43001137599998,206.14501706399997,343.57502844,167.20529594399997,150.48476634959997,317.6900622935999,2310.860518
Northern Mariana Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Norway,690.0469124399999,345.02345621999996,1035.07036866,702.9872812799999,702.9872812799999,1405.9745625599999,445.21284744,667.81927116,1113.0321186,612.74901384,551.474112456,1164.223126296,86096.13602
Oman,400.1515596,200.0757798,600.2273394,424.00674215999993,424.00674215999993,848.0134843199999,281.164124196,421.746186294,702.91031049,368.44080876,331.596727884,700.037536644,20922.65677
Pakistan,125.12929964399999,62.56464982199999,187.693949466,144.19279407599998,144.19279407599998,288.38558815199997,105.46954884,158.20432326,263.6738721,124.93054753199999,112.43749277879999,237.36804031079998,1023.195756
Palau,297.017801136,148.508900568,445.526701704,321.56783207999996,321.56783207999996,643.1356641599999,218.665864764,327.998797146,546.66466191,279.08383266,251.175449394,530.259282054,9651.133366
